scenario_id,scenario_label,policy,episode,seed,month,used_oracle,oracle_mode,refresh_reason,brief_source,shock_label,brief_risk_level,brief_growth_outlook,brief_efficiency_pressure,brief_innovation_urgency,brief_macro_condition,brief_expected_outcome,brief_confidence,action_modifier_applied,memory_count,marketing_spend_pre_modifier,marketing_spend_post_modifier,marketing_spend_final,rd_spend_pre_modifier,rd_spend_post_modifier,rd_spend_final,hires_pre_modifier,hires_post_modifier,hires_final,marketing_spend_change_pct,rd_spend_change_pct,hires_change,reference_marketing_spend,reference_rd_spend,reference_hires,marketing_diff_pct,rd_diff_pct,hires_diff,decision_diff
oracle_v1,Oracle v1,oracle_v1,0,0,0,True,oracle_v1,initial,llm,,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9440.0,15264.480000000001,20000.0,1,1,1,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,1,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9440.0,15264.480000000001,20000.0,1,1,1,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,2,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9440.0,15264.480000000001,20000.0,1,1,1,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,3,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9440.0,15264.480000000001,20000.0,1,1,1,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,4,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9440.0,15264.480000000001,20000.0,1,1,1,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,5,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9440.0,15264.480000000001,20000.0,0,0,0,-10.75,61.70000000000001,0,20000.0,20000.0,0,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,6,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9536.0,15419.712000000001,20000.0,0,0,0,-10.75,61.70000000000001,0,20000.0,20000.0,0,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,7,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9536.0,15419.712000000001,20000.0,1,1,1,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,8,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9536.0,15419.712000000001,20000.0,0,0,0,-10.75,61.70000000000001,0,20000.0,20000.0,0,0.1075,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,9,True,oracle_v1,,reuse,NO_SHOCK,MEDIUM,STABLE,LOW,HIGH,NEUTRAL,,0.8,True,0,20000,17850.0,17850.0,9536.0,15419.712000000001,20000.0,0,0,0,-10.75,61.70000000000001,0,20000.0,20000.0,1,0.1075,0.0,1,True
oracle_v1,Oracle v1,oracle_v1,0,0,10,True,oracle_v1,cadence,llm,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,,0.95,True,0,20000,31200.0,31200.0,9536.0,12015.36,20000.0,1,1,1,56.00000000000001,26.000000000000007,0,20000.0,20000.0,1,0.56,0.0,0,True
oracle_v1,Oracle v1,oracle_v1,0,0,11,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,,0.95,True,0,20000,31200.0,31200.0,9536.0,12015.36,20000.0,1,1,1,56.00000000000001,26.000000000000007,0,20000.0,20000.0,0,0.56,0.0,1,True
oracle_v1,Oracle v1,oracle_v1,0,0,12,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,,0.95,True,0,20000,31200.0,31200.0,9536.0,12015.36,20000.0,0,0,0,56.00000000000001,26.000000000000007,0,20000.0,20000.0,1,0.56,0.0,1,True
oracle_v1,Oracle v1,oracle_v1,0,0,13,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,HIGH,EXPANSION,,0.95,True,0,20000,31200.0,31200.0,9536.0,12015.36,20000.0,1,1,1,56.00000000000001,26.000000000000007,0,20000.0,20000.0,1,0.56,0.0,0,True
