scenario_id,scenario_label,policy,episode,seed,month,used_oracle,oracle_mode,refresh_reason,brief_source,shock_label,brief_risk_level,brief_growth_outlook,brief_efficiency_pressure,brief_innovation_urgency,brief_macro_condition,brief_expected_outcome,brief_confidence,action_modifier_applied,memory_count,marketing_spend_pre_modifier,marketing_spend_post_modifier,marketing_spend_final,rd_spend_pre_modifier,rd_spend_post_modifier,rd_spend_final,hires_pre_modifier,hires_post_modifier,hires_final,marketing_spend_change_pct,rd_spend_change_pct,hires_change
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,0,True,oracle_v1,initial,llm,,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9440.0,8496.0,20000.0,1,1,1,56.00000000000001,-10.0,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,1,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9440.0,8496.0,20000.0,1,1,1,56.00000000000001,-10.0,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,2,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9440.0,8496.0,20000.0,1,1,1,56.00000000000001,-10.0,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,3,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9440.0,8496.0,20000.0,1,1,1,56.00000000000001,-10.0,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,4,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9440.0,8496.0,20000.0,1,1,1,56.00000000000001,-10.0,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,5,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9440.0,8496.0,20000.0,1,1,1,56.00000000000001,-10.0,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,6,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9536.0,8582.4,20000.0,0,0,0,56.00000000000001,-10.000000000000004,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,7,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9536.0,8582.4,20000.0,1,1,1,56.00000000000001,-10.000000000000004,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,8,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9536.0,8582.4,20000.0,1,1,1,56.00000000000001,-10.000000000000004,0
oracle_v1_action_modifier,Oracle v1 + ActionModifier,oracle_v1,0,0,9,True,oracle_v1,,reuse,NO_SHOCK,LOW,ACCELERATING,MEDIUM,MEDIUM,EXPANSION,,0.85,True,0,20000,31200.0,31200.0,9536.0,8582.4,20000.0,1,1,1,56.00000000000001,-10.000000000000004,0
