scenario_id,scenario_label,policy,episode,seed,month,brief_risk_level,brief_confidence,marketing_spend_change_pct,rd_spend_change_pct,memory_count,brief_source
oracle_v1,Oracle v1,oracle_v1,0,0,0,LOW,0.8,56.00000000000001,25.999999999999996,0,llm
oracle_v1,Oracle v1,oracle_v1,0,0,1,LOW,0.8,56.00000000000001,25.999999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,2,LOW,0.8,56.00000000000001,25.999999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,3,LOW,0.8,56.00000000000001,25.999999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,4,LOW,0.8,56.00000000000001,25.999999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,5,LOW,0.8,56.00000000000001,25.999999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,6,LOW,0.8,56.00000000000001,26.000000000000007,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,7,LOW,0.8,56.00000000000001,26.000000000000007,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,8,LOW,0.8,56.00000000000001,26.000000000000007,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,9,LOW,0.8,56.00000000000001,26.000000000000007,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,10,LOW,0.95,63.800000000000026,-14.949999999999996,0,llm
oracle_v1,Oracle v1,oracle_v1,0,0,11,LOW,0.95,63.800000000000026,-14.949999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,12,LOW,0.95,63.800000000000026,-14.949999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,13,LOW,0.95,63.800000000000026,-14.949999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,14,LOW,0.95,63.800000000000026,-14.949999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,15,LOW,0.95,63.800000000000026,-14.949999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,16,LOW,0.95,63.800000000000026,-14.949999999999996,0,reuse
oracle_v1,Oracle v1,oracle_v1,0,0,17,LOW,0.95,63.800000000000026,-14.950000000000003,0,reuse
